feature                                     charge   composition   flexibility      geometry   hydrophobic          meta    observable         polar    sec_struct
asa_mainchain                          0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
cf_beta                                0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00
cf_alpha                               0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00
cf_turn                                0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00
cider_FPPII_chain                      0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00
dS_buex                                0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
dS_exu                                 0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
dS_bb                                  0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
cider_fraction_disorder_promoting      0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
knob_mc_b                              0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
knob_sc_b                              0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
socket_mc_x                            0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
socket_sc_y                            0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
socket_sc_x                            0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
socket_mc_h                            0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
socket_sc_h                            0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
socket_mc_y                            0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
volume                                 0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
mw                                     0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
cider_molecular_weight                 0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
aromatic                               0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
